Time Interval,Edge 1,Edge 2,Edge 3,Edge 4,Edge 5,Edge 6,Edge 7,Edge 8,Edge 9,Edge 10,Edge 11,Edge 12,Edge 13,Edge 14,Edge 15,Edge 16,Edge 17,Edge 18,Edge 19
2024-06-04 06:40:00 - 2024-06-04 06:45:00,34,24,15,2,1,0,5,15,15,2,4,2,2,4,2,1,14,1,12
2024-06-04 06:45:00 - 2024-06-04 06:50:00,39,27,11,3,4,0,10,9,15,1,5,5,9,1,4,9,8,5,15
2024-06-04 06:50:00 - 2024-06-04 06:55:00,43,28,13,5,8,0,16,15,12,12,14,6,11,6,2,6,16,3,29
2024-06-04 06:55:00 - 2024-06-04 07:00:00,55,38,22,4,6,0,15,21,15,8,10,3,10,5,2,5,10,3,26
2024-06-04 07:00:00 - 2024-06-04 07:05:00,41,28,17,3,7,0,14,17,26,3,6,5,9,5,3,13,13,6,32
2024-06-04 07:05:00 - 2024-06-04 07:10:00,48,31,19,6,4,0,14,21,22,0,4,3,15,9,4,12,23,6,55
2024-06-04 07:10:00 - 2024-06-04 07:15:00,46,29,21,6,5,0,20,22,21,6,8,6,12,8,2,8,23,4,62
2024-06-04 07:15:00 - 2024-06-04 07:20:00,52,36,21,3,3,0,21,20,16,3,6,5,14,5,3,10,19,5,49
2024-06-04 07:20:00 - 2024-06-04 07:25:00,51,34,20,5,8,0,18,27,30,6,7,3,25,15,1,13,21,5,66
2024-06-04 07:25:00 - 2024-06-04 07:30:00,70,49,24,4,4,0,18,23,30,2,6,4,17,6,4,9,28,5,62
2024-06-04 07:30:00 - 2024-06-04 07:35:00,56,39,27,4,4,0,19,27,29,9,14,5,15,9,5,7,30,4,51
2024-06-04 07:35:00 - 2024-06-04 07:40:00,69,47,32,6,5,0,23,31,41,5,10,7,18,9,5,10,32,5,65
2024-06-04 07:40:00 - 2024-06-04 07:45:00,55,32,32,10,2,0,23,30,26,6,8,8,20,7,2,12,26,5,60
2024-06-04 07:45:00 - 2024-06-04 07:50:00,69,45,47,8,11,0,14,48,25,9,15,8,13,16,6,10,28,6,53
2024-06-04 07:50:00 - 2024-06-04 07:55:00,66,41,39,9,10,0,18,33,29,15,19,11,15,5,4,7,25,4,36
2024-06-04 07:55:00 - 2024-06-04 08:00:00,64,43,40,6,16,0,21,38,19,18,22,10,17,10,4,11,23,5,38
2024-06-04 08:00:00 - 2024-06-04 08:05:00,60,41,50,5,10,0,21,46,26,10,13,8,14,11,3,4,16,3,33
2024-06-04 08:05:00 - 2024-06-04 08:10:00,82,54,24,9,15,0,21,24,30,11,21,6,19,7,10,12,32,8,42
2024-06-04 08:10:00 - 2024-06-04 08:15:00,62,39,37,8,14,0,21,39,24,16,17,10,19,15,1,9,31,4,36
2024-06-04 08:15:00 - 2024-06-04 08:20:00,85,55,41,9,13,0,36,39,16,15,23,11,18,10,8,16,21,8,42
2024-06-04 08:20:00 - 2024-06-04 08:25:00,82,49,52,13,21,0,35,52,30,14,18,13,25,17,4,17,13,7,32
2024-06-04 08:25:00 - 2024-06-04 08:30:00,102,67,53,10,13,0,25,45,25,21,28,16,16,6,7,11,27,6,24
2024-06-04 08:30:00 - 2024-06-04 08:35:00,84,57,37,6,23,0,29,41,40,20,24,12,14,17,4,9,32,5,31
2024-06-04 08:35:00 - 2024-06-04 08:40:00,103,72,53,6,16,0,29,49,32,15,26,20,17,12,11,6,25,6,32
